,,Pressure (bar),Temperature (°C),XCO2,mNaCl (mol/Kg),,,,
Anderson2002,,0.755,1,0.000993,0,,,,
,,2.506,1,0.003213,0,,,,
,,4.716,1,0.00606,0,,,,
,,7.75,1,0.009597,0,,,,
,,10.56,1,0.01276,0,,,,
,,13.62,1,0.01601,0,,,,
,,0.79,3,0.0009652,0,,,,
,,2.623,3,0.003121,0,,,,
,,4.954,3,0.005861,0,,,,
,,8.094,3,0.009297,0,,,,
,,11,3,0.0123,0,,,,
,,14.2,3,0.01549,0,,,,
,,0.827,5,0.0009355,0,,,,
,,2.737,5,0.003033,0,,,,
,,5.161,5,0.005696,0,,,,
,,8.418,5,0.009023,0,,,,
,,11.46,5,0.012,0,,,,
,,14.79,5,0.01498,0,,,,
,,18.58,5,0.01772,0,,,,
,,0.858,7,0.0009123,0,,,,
,,2.854,7,0.002944,0,,,,
,,5.381,7,0.005519,0,,,,
,,8.763,7,0.00873,0,,,,
,,11.94,7,0.0116,0,,,,
,,15.38,7,0.01447,0,,,,
,,19.24,7,0.01714,0,,,,
,,0.897,9,0.0008827,0,,,,
,,2.972,9,0.002855,0,,,,
,,5.598,9,0.005349,0,,,,
,,9.06,9,0.008493,0,,,,
,,12.37,9,0.01125,0,,,,
,,15.89,9,0.01405,0,,,,
,,19.82,9,0.01666,0,,,,
,,0.936,11,0.0008523,0,,,,
,,3.085,11,0.002771,0,,,,
,,5.795,11,0.005201,0,,,,
,,9.397,11,0.008215,0,,,,
,,12.89,11,0.01082,0,,,,
,,16.41,11,0.01363,0,,,,
,,20.51,11,0.01606,0,,,,
,,0.969,13,0.0008291,0,,,,
,,3.199,13,0.002688,0,,,,
,,5.995,13,0.005052,0,,,,
,,9.708,13,0.00797,0,,,,
,,13.36,13,0.01045,0,,,,
,,16.96,13,0.01318,0,,,,
,,21.13,13,0.01554,0,,,,
,,1.005,15,0.0008026,0,,,,
,,3.316,15,0.002604,0,,,,
,,6.198,15,0.004901,0,,,,
,,9.977,15,0.007771,0,,,,
,,13.76,15,0.01015,0,,,,
,,17.48,15,0.01278,0,,,,
,,21.79,15,0.015,0,,,,
Chapoy2004,,1.9,0.990000000000009,0.00262,0,,,,
,,12.01,1.68000000000001,0.0142,0,,,,
,,2.28,5.07000000000005,0.00262,0,,,,
,,14.26,5.59000000000003,0.0142,0,,,,
,,17.32,10.23,0.0142,0,,,,
,,2.87,11.12,0.00262,0,,,,
,,39.38,11.58,0.02488,0,,,,
,,3.29,15.26,0.00262,0,,,,
,,20.62,16.05,0.0142,0,,,,
,,48.44,16.47,0.02488,0,,,,
,,73.09,37.71,0.02017,0,,,,
,,6.3,38.47,0.00262,0,,,,
,,41.19,40.21,0.0142,0,,,,
,,7.79,48.49,0.00262,0,,,,
,,52.16,48.8200000000001,0.0142,0,,,,
,,13.27,3.59000000000003,0.0142,0,,,,
,,51.72,19.2,0.02488,0,,,,
,,23.49,19.86,0.0142,0,,,,
,,3.85,20.19,0.00262,0,,,,
,,27.8,25.25,0.0142,0,,,,
,,10.08,25.91,0.0059,0,,,,
,,4.52,26.17,0.00262,0,,,,
,,4.99,30.84,0.00262,0,,,,
,,93.33,48.99,0.02017,0,,,,
,,9.13,57.45,0.00262,0,,,,
,,10.86,68.09,0.00262,0,,,,
,,12.43,78.16,0.00262,0,,,,
d'Souza1988,,101.33,50,0.0198,0,,,,
,,152,50,0.021,0,,,,
,,101.33,75,0.0156,0,,,,
,,152,75,0.0188,0,,,,
Koschel2006,,20.6,50,0.0064,0,,,,
,,51,50,0.0142,0,,,,
,,105.3,50,0.02,0,,,,
,,142,50,0.0214,0,,,,
,,202,50,0.0227,0,,,,
,,50.5,100,0.0079,0,,,,
,,100.8,100,0.0136,0,,,,
,,194.7,100,0.0201,0,,,,
,,51,50,0.0111,1,,,,
,,100.3,50,0.0164,1,,,,
,,143.8,50,0.0177,1,,,,
,,202.4,50,0.0181,1,,,,
,,50.7,100,0.006,1,,,,
,,104,100,0.0112,1,,,,
,,191.4,100,0.0161,1,,,,
